Gen	theta_1red	theta_2green	theta_3redgreen	tau_3redgreen	M_red->green	lnL
17368	0.016864	0.029779	0.002880	0.003770	2.064450	-3498.825
17372	0.016246	0.027701	0.002519	0.003876	1.610711	-3524.006
17376	0.019149	0.029324	0.001672	0.004229	1.610711	-3508.465
17380	0.019573	0.028503	0.001090	0.003871	2.853216	-3521.896
17384	0.016412	0.037571	0.001651	0.003950	1.851692	-3512.079
17388	0.018890	0.039996	0.002554	0.004317	1.869173	-3508.506
17392	0.020384	0.041338	0.002278	0.004317	1.420207	-3508.587
17396	0.018062	0.038045	0.005032	0.004260	1.822472	-3531.317
17400	0.014903	0.025967	0.003785	0.003777	1.376019	-3523.737
17404	0.012332	0.017495	0.004040	0.002902	1.574421	-3514.354
17408	0.011927	0.024119	0.002346	0.003023	2.039442	-3499.587
17412	0.013658	0.018437	0.001867	0.003023	2.071412	-3498.284
17416	0.014086	0.025868	0.003539	0.003295	1.680197	-3509.001
17420	0.013916	0.020020	0.002488	0.003496	1.331188	-3494.564
17424	0.014905	0.021039	0.001889	0.003496	1.394163	-3486.792
17428	0.017912	0.024570	0.003826	0.003804	1.521294	-3499.472
17432	0.018301	0.024312	0.003386	0.003862	1.493204	-3519.655
17436	0.017845	0.020965	0.002739	0.003862	1.301110	-3490.053
17440	0.021300	0.025748	0.001649	0.004202	1.442022	-3504.299
17444	0.018087	0.019818	0.001643	0.003735	1.933734	-3518.682
17448	0.019329	0.030367	0.001922	0.004174	1.573514	-3501.461
17452	0.016367	0.024579	0.001072	0.003447	1.945588	-3500.342
17456	0.014497	0.022490	0.000987	0.003188	2.099830	-3504.412
17460	0.013485	0.024413	0.000822	0.002731	1.944990	-3522.739
17464	0.013794	0.020133	0.001146	0.002557	2.020053	-3521.524
17468	0.013735	0.020992	0.001314	0.002557	2.154340	-3497.357
17472	0.014723	0.021816	0.002157	0.002845	1.647860	-3495.352
17476	0.013787	0.024513	0.001807	0.002845	1.572319	-3510.781
17480	0.013946	0.023107	0.002479	0.002845	1.749037	-3501.501
17484	0.017853	0.031415	0.003864	0.003541	1.843050	-3496.432
17488	0.013559	0.019778	0.002761	0.002756	1.539922	-3483.794
17492	0.014927	0.024433	0.004199	0.002953	1.095117	-3481.593
17496	0.013741	0.029493	0.002973	0.002953	1.580372	-3513.733
17500	0.015113	0.022335	0.003253	0.003026	1.039361	-3504.131
17504	0.015491	0.029000	0.002893	0.003355	1.462445	-3520.640
17508	0.012958	0.027945	0.003130	0.002843	1.613157	-3522.002
17512	0.008804	0.019401	0.001466	0.002056	1.613157	-3529.384
17516	0.009102	0.018199	0.002242	0.001983	1.526323	-3546.228
17520	0.011082	0.023507	0.002516	0.002492	1.540266	-3531.131
17524	0.010066	0.027062	0.001792	0.002479	2.615438	-3521.508
17528	0.008510	0.021841	0.001124	0.002276	1.558083	-3525.932
17532	0.009586	0.017137	0.001253	0.002276	1.330129	-3521.600
17536	0.008815	0.017383	0.001700	0.002276	1.688562	-3516.299
17540	0.010238	0.022263	0.001967	0.002526	1.511801	-3520.847
17544	0.009257	0.019224	0.002838	0.002114	1.753873	-3505.190
17548	0.010239	0.022085	0.003415	0.002478	1.781363	-3497.151
17552	0.011466	0.021004	0.002002	0.002502	1.497482	-3511.671
17556	0.012012	0.017551	0.002326	0.002502	1.497482	-3506.739
17560	0.010883	0.020432	0.002906	0.002357	1.277553	-3510.753
17564	0.011478	0.017409	0.002252	0.002622	1.438495	-3497.121
